Year,State,Fishery,Assessment,Landings
1916,CA,Trawl,2013,0
1917,CA,Trawl,2013,0
1918,CA,Trawl,2013,0
1919,CA,Trawl,2013,0
1920,CA,Trawl,2013,0
1921,CA,Trawl,2013,0
1922,CA,Trawl,2013,0
1923,CA,Trawl,2013,0
1924,CA,Trawl,2013,0
1925,CA,Trawl,2013,0
1926,CA,Trawl,2013,0
1927,CA,Trawl,2013,0
1928,CA,Trawl,2013,0
1929,CA,Trawl,2013,0
1930,CA,Trawl,2013,0
1931,CA,Trawl,2013,0
1932,CA,Trawl,2013,0
1933,CA,Trawl,2013,0
1934,CA,Trawl,2013,0
1935,CA,Trawl,2013,0
1936,CA,Trawl,2013,0
1937,CA,Trawl,2013,0
1938,CA,Trawl,2013,0
1939,CA,Trawl,2013,0
1940,CA,Trawl,2013,0
1941,CA,Trawl,2013,0
1942,CA,Trawl,2013,0
1943,CA,Trawl,2013,0
1944,CA,Trawl,2013,0
1945,CA,Trawl,2013,0
1946,CA,Trawl,2013,0
1947,CA,Trawl,2013,0
1948,CA,Trawl,2013,0
1949,CA,Trawl,2013,0
1950,CA,Trawl,2013,0
1951,CA,Trawl,2013,0
1952,CA,Trawl,2013,0
1953,CA,Trawl,2013,0
1954,CA,Trawl,2013,0
1955,CA,Trawl,2013,0
1956,CA,Trawl,2013,0
1957,CA,Trawl,2013,0
1958,CA,Trawl,2013,0
1959,CA,Trawl,2013,0
1960,CA,Trawl,2013,0
1961,CA,Trawl,2013,0
1962,CA,Trawl,2013,0
1963,CA,Trawl,2013,0
1964,CA,Trawl,2013,0
1965,CA,Trawl,2013,0
1966,CA,Trawl,2013,0
1967,CA,Trawl,2013,0
1968,CA,Trawl,2013,0
1969,CA,Trawl,2013,0
1970,CA,Trawl,2013,0
1971,CA,Trawl,2013,0
1972,CA,Trawl,2013,0
1973,CA,Trawl,2013,0
1974,CA,Trawl,2013,0
1975,CA,Trawl,2013,0
1976,CA,Trawl,2013,0
1977,CA,Trawl,2013,0
1978,CA,Trawl,2013,0
1979,CA,Trawl,2013,0
1980,CA,Trawl,2013,0
1981,CA,Trawl,2013,0
1982,CA,Trawl,2013,0
1983,CA,Trawl,2013,0
1984,CA,Trawl,2013,0
1985,CA,Trawl,2013,0.05
1986,CA,Trawl,2013,0.11
1987,CA,Trawl,2013,1
1988,CA,Trawl,2013,0
1989,CA,Trawl,2013,0.49
1990,CA,Trawl,2013,2.41
1991,CA,Trawl,2013,1.27
1992,CA,Trawl,2013,1.74
1993,CA,Trawl,2013,0
1994,CA,Trawl,2013,6.55
1995,CA,Trawl,2013,4.98
1996,CA,Trawl,2013,1.89
1997,CA,Trawl,2013,0.21
1998,CA,Trawl,2013,1.8
1999,CA,Trawl,2013,0.99
2000,CA,Trawl,2013,2.36
2001,CA,Trawl,2013,0.37
2002,CA,Trawl,2013,0.4
2003,CA,Trawl,2013,0.69
2004,CA,Trawl,2013,0.08
2005,CA,Trawl,2013,0.05
2006,CA,Trawl,2013,0.07
2007,CA,Trawl,2013,0.56
2008,CA,Trawl,2013,0.39
2009,CA,Trawl,2013,0.3
2010,CA,Trawl,2013,0.17
2011,CA,Trawl,2013,0.19
2012,CA,Trawl,2013,0
1916,CA,Trawl,2025,0
1917,CA,Trawl,2025,0
1918,CA,Trawl,2025,0
1919,CA,Trawl,2025,0
1920,CA,Trawl,2025,0
1921,CA,Trawl,2025,0
1922,CA,Trawl,2025,0
1923,CA,Trawl,2025,0
1924,CA,Trawl,2025,0
1925,CA,Trawl,2025,0
1926,CA,Trawl,2025,0
1927,CA,Trawl,2025,0
1928,CA,Trawl,2025,0
1929,CA,Trawl,2025,0
1930,CA,Trawl,2025,0
1931,CA,Trawl,2025,0
1932,CA,Trawl,2025,0
1933,CA,Trawl,2025,0
1934,CA,Trawl,2025,0
1935,CA,Trawl,2025,0
1936,CA,Trawl,2025,0
1937,CA,Trawl,2025,0
1938,CA,Trawl,2025,0
1939,CA,Trawl,2025,0
1940,CA,Trawl,2025,0
1941,CA,Trawl,2025,0
1942,CA,Trawl,2025,0
1943,CA,Trawl,2025,0
1944,CA,Trawl,2025,0
1945,CA,Trawl,2025,0
1946,CA,Trawl,2025,0
1947,CA,Trawl,2025,0
1948,CA,Trawl,2025,0
1949,CA,Trawl,2025,0
1950,CA,Trawl,2025,0
1951,CA,Trawl,2025,0
1952,CA,Trawl,2025,0
1953,CA,Trawl,2025,0
1954,CA,Trawl,2025,0
1955,CA,Trawl,2025,0
1956,CA,Trawl,2025,0
1957,CA,Trawl,2025,0
1958,CA,Trawl,2025,0
1959,CA,Trawl,2025,0
1960,CA,Trawl,2025,0
1961,CA,Trawl,2025,0
1962,CA,Trawl,2025,0
1963,CA,Trawl,2025,0
1964,CA,Trawl,2025,0
1965,CA,Trawl,2025,0
1966,CA,Trawl,2025,0
1967,CA,Trawl,2025,0
1968,CA,Trawl,2025,0
1969,CA,Trawl,2025,0
1970,CA,Trawl,2025,0
1971,CA,Trawl,2025,0
1972,CA,Trawl,2025,0
1973,CA,Trawl,2025,0
1974,CA,Trawl,2025,0
1975,CA,Trawl,2025,0
1976,CA,Trawl,2025,0
1977,CA,Trawl,2025,0
1978,CA,Trawl,2025,0
1979,CA,Trawl,2025,0
1980,CA,Trawl,2025,0
1981,CA,Trawl,2025,0
1982,CA,Trawl,2025,0
1983,CA,Trawl,2025,0
1984,CA,Trawl,2025,0
1985,CA,Trawl,2025,0.043090912
1986,CA,Trawl,2025,0.110524993
1987,CA,Trawl,2025,0.959444977
1988,CA,Trawl,2025,0
1989,CA,Trawl,2025,0.495276012
1990,CA,Trawl,2025,2.424337459
1991,CA,Trawl,2025,1.2439265
1992,CA,Trawl,2025,1.739429445
1993,CA,Trawl,2025,0
1994,CA,Trawl,2025,6.514298125
1995,CA,Trawl,2025,4.760898443
1996,CA,Trawl,2025,1.805196891
1997,CA,Trawl,2025,0.210234711
1998,CA,Trawl,2025,0.792537455
1999,CA,Trawl,2025,0
2000,CA,Trawl,2025,2.350021361
2001,CA,Trawl,2025,0.371736502
2002,CA,Trawl,2025,0.401714648
2003,CA,Trawl,2025,0.713354322
2004,CA,Trawl,2025,0.07735528
2005,CA,Trawl,2025,0.046336502
2006,CA,Trawl,2025,0.075242991
2007,CA,Trawl,2025,0.563182011
2008,CA,Trawl,2025,0.395148445
2009,CA,Trawl,2025,0.29621886
2010,CA,Trawl,2025,0.165953845
2011,CA,Trawl,2025,0.203809167
2012,CA,Trawl,2025,0.496604453
2013,CA,Trawl,2025,0.958384796
2014,CA,Trawl,2025,0.319652576
2015,CA,Trawl,2025,0.297761846
2016,CA,Trawl,2025,0.164119744
2017,CA,Trawl,2025,0.26085317
2018,CA,Trawl,2025,0.570280641
2019,CA,Trawl,2025,0.616172939
2020,CA,Trawl,2025,0.096125295
2021,CA,Trawl,2025,0.379199049
