Year,Landings,State,Fishery
1932,0,CA,Trawl
1933,0,CA,Trawl
1934,0,CA,Trawl
1935,0,CA,Trawl
1936,0,CA,Trawl
1937,0,CA,Trawl
1938,0,CA,Trawl
1939,0,CA,Trawl
1940,0,CA,Trawl
1941,0,CA,Trawl
1942,0,CA,Trawl
1943,0,CA,Trawl
1944,0,CA,Trawl
1945,0,CA,Trawl
1946,0,CA,Trawl
1947,0,CA,Trawl
1948,0,CA,Trawl
1949,0,CA,Trawl
1950,0,CA,Trawl
1951,0,CA,Trawl
1952,0,CA,Trawl
1953,0,CA,Trawl
1954,0,CA,Trawl
1955,0,CA,Trawl
1956,0,CA,Trawl
1957,0,CA,Trawl
1958,0,CA,Trawl
1959,0,CA,Trawl
1960,0,CA,Trawl
1961,0,CA,Trawl
1962,0,CA,Trawl
1963,0,CA,Trawl
1964,0,CA,Trawl
1965,0,CA,Trawl
1966,0,CA,Trawl
1967,0,CA,Trawl
1968,0,CA,Trawl
1969,0,CA,Trawl
1970,0,CA,Trawl
1971,0,CA,Trawl
1972,0,CA,Trawl
1973,0,CA,Trawl
1974,0,CA,Trawl
1975,0,CA,Trawl
1976,0,CA,Trawl
1977,0,CA,Trawl
1978,0,CA,Trawl
1979,0,CA,Trawl
1980,0,CA,Trawl
1981,0,CA,Trawl
1982,0,CA,Trawl
1983,0,CA,Trawl
1984,0,CA,Trawl
1985,0.043090912,CA,Trawl
1986,0.110524993,CA,Trawl
1987,0.959444977,CA,Trawl
1988,0,CA,Trawl
1989,0.495276012,CA,Trawl
1990,2.424337459,CA,Trawl
1991,1.2439265,CA,Trawl
1992,1.739429445,CA,Trawl
1993,0,CA,Trawl
1994,6.514298125,CA,Trawl
1995,4.760898443,CA,Trawl
1996,1.805196891,CA,Trawl
1997,0.210234711,CA,Trawl
1998,0.792537455,CA,Trawl
1999,0,CA,Trawl
2000,2.350021361,CA,Trawl
2001,0.371736502,CA,Trawl
2002,0.401714648,CA,Trawl
2003,0.713354322,CA,Trawl
2004,0.07735528,CA,Trawl
2005,0.046336502,CA,Trawl
2006,0.075242991,CA,Trawl
2007,0.563182011,CA,Trawl
2008,0.395148445,CA,Trawl
2009,0.29621886,CA,Trawl
2010,0.165953845,CA,Trawl
2011,0.203809167,CA,Trawl
2012,0.496604453,CA,Trawl
2013,0.958384796,CA,Trawl
2014,0.319652576,CA,Trawl
2015,0.297761846,CA,Trawl
2016,0.164119744,CA,Trawl
2017,0.26085317,CA,Trawl
2018,0.570280641,CA,Trawl
2019,0.616172939,CA,Trawl
2020,0.096125295,CA,Trawl
2021,0.379199049,CA,Trawl
2022,0.269471063,CA,Trawl
2023,0.049895161,CA,Trawl
2024,0.140160042,CA,Trawl
1932,0.0044,OR,Trawl
1933,0.0027,OR,Trawl
1934,0.0001,OR,Trawl
1935,0.0021,OR,Trawl
